Acidez;tempo;irradiacao;tratamento
0,09;3;0;1
0,1;3;0;1
0,09;3;0;1
0,09;3;0;1
0,09;3;0;1
0,08;3;0;1
0,13;3;0;1
0,13;3;0;1
0,11;3;0;1
0,09;3;0;1
0,09;3;0;1
0,12;3;0;1
0,13;3;0;1
0,12;3;0,5;2
0,1;3;0,5;2
0,15;3;0,5;2
0,09;3;0,5;2
0,11;3;0,5;2
0,1;3;0,5;2
0,12;3;0,5;2
0,13;3;0,5;2
0,11;3;0,5;2
0,14;3;0,5;2
0,13;3;0,5;2
0,12;3;0,5;2
0,13;3;0,5;2
0,11;3;0,5;2
0,09;3;0,5;2
0,1;3;0,5;2
0,12;3;0,5;2
0,13;3;0,5;2
0,11;3;0,5;2
0,12;3;0,5;2
0,1;3;0,5;2
0,1;3;0,5;2
0,14;3;0,5;2
0,14;3;0,5;2
0,12;3;0,5;2
0,12;3;0,5;2
0,1;3;0;1
0,11;3;0;1
0,09;3;0;1
0,1;3;0;1
0,12;3;0;1
0,11;3;0;1
0,11;3;0;1
0,13;3;0;1
0,1;3;0;1
0,1;3;0;1
0,11;3;0;1
0,09;3;0;1
0,1;3;0;1
0,08;7;0;3
0,09;7;0;3
0,1;7;0;3
0,09;7;0;3
0,09;7;0;3
0,12;7;0;3
0,09;7;0;3
0,1;7;0;3
0,12;7;0;3
0,12;7;0;3
0,14;7;0;3
0,14;7;0;3
0,13;7;0;3
0,15;7;0;3
0,11;7;0,5;4
0,12;7;0,5;4
0,12;7;0,5;4
0,13;7;0,5;4
0,12;7;0,5;4
0,14;7;0,5;4
0,11;7;0,5;4
0,12;7;0,5;4
0,13;7;0,5;4
0,12;7;0,5;4
0,12;7;0,5;4
0,13;7;0,5;4
0,13;7;0,5;4
0,12;7;0,5;4
0,09;7;0,5;4
0,1;7;0,5;4
0,11;7;0,5;4
0,11;7;0,5;4
0,1;7;0,5;4
0,1;7;0,5;4
0,13;7;0,5;4
0,13;7;0,5;4
0,12;7;0,5;4
0,12;7;0,5;4
0,12;7;0,5;4
0,12;7;0,5;4
0,12;7;0,5;4
0,13;7;0,5;4
0,14;7;0,5;4
0,12;7;0,5;4
0,13;7;0,5;4
0,11;7;0,5;4
0,12;7;0;3
0,12;7;0;3
0,13;7;0;3
0,11;7;0;3
0,09;7;0;3
0,12;7;0;3
0,1;7;0;3
0,1;7;0;3
0,12;7;0;3
0,12;7;0;3
0,11;7;0;3
0,14;7;0;3
0,12;7;0;3
0,09;7;0;3
0,1;7;0;3
0,13;7;0;3
0,08;14;0;3
0,11;14;0;3
0,1;14;0;3
0,1;14;0;3
0,08;14;0;3
0,09;14;0;3
0,09;14;0;3
0,11;14;0;3
0,12;14;0;3
0,09;14;0;3
0,12;14;0;3
0,11;14;0;3
0,08;14;0;3
0,13;14;0,5;5
0,14;14;0,5;5
0,13;14;0,5;5
0,12;14;0,5;5
0,1;14;0,5;5
0,09;14;0,5;5
0,13;14;0,5;5
0,12;14;0,5;5
0,13;14;0,5;5
0,14;14;0,5;5
0,13;14;0,5;5
0,12;14;0,5;5
0,1;14;0,5;5
0,09;14;0,5;5
0,13;14;0,5;5
0,12;14;0,5;5
0,11;14;0,5;5
0,11;14;0,5;5
0,1;14;0,5;5
0,11;14;0,5;5
0,08;14;0,5;5
0,09;14;0,5;5
0,1;14;0,5;5
0,12;14;0,5;5
0,11;14;0,5;5
0,15;14;0,5;5
0,14;14;0,5;5
0,13;14;0,5;5
0,13;14;0,5;5
0,13;14;0,5;5
0,14;14;0,5;5
0,14;14;0,5;5
0,07;14;0;6
0,08;14;0;6
0,09;14;0;6
0,11;14;0;6
0,11;14;0;6
0,09;14;0;6
0,1;14;0;6
0,1;14;0;6
0,13;14;0;6
0,15;14;0;6
0,11;14;0;6
0,11;14;0;6
0,1;14;0;6
0,1;14;0;6
0,11;14;0;6
0,1;14;0;6
0,11;19;0;7
0,13;19;0;7
0,12;19;0;7
0,12;19;0;7
0,1;19;0;7
0,12;19;0;7
0,11;19;0;7
0,13;19;0;7
0,12;19;0;7
0,14;19;0;7
0,13;19;0;7
0,12;19;0;7
0,14;19;0;7
0,13;19;0;7
0,12;19;0;7
0,12;19;0;7
0,09;19;0,5;8
0,1;19;0,5;8
0,11;19;0,5;8
0,11;19;0,5;8
0,1;19;0,5;8
0,11;19;0,5;8
0,1;19;0,5;8
0,1;19;0,5;8
0,13;19;0,5;8
0,14;19;0,5;8
0,14;19;0,5;8
0,12;19;0,5;8
0,11;19;0,5;8
0,13;19;0,5;8
0,13;19;0,5;8
0,14;19;0,5;8
0,09;19;0,5;8
0,1;19;0,5;8
0,13;19;0,5;8
0,1;19;0,5;8
0,1;19;0,5;8
0,1;19;0,5;8
0,13;19;0,5;8
0,12;19;0,5;8
0,12;19;0,5;8
0,13;19;0,5;8
0,13;19;0,5;8
0,13;19;0,5;8
0,13;19;0,5;8
0,12;19;0,5;8
0,11;19;0,5;8
0,1;19;0,5;8
0,14;19;0;7
0,12;19;0;7
0,13;19;0;7
0,13;19;0;7
0,12;19;0;7
0,11;19;0;7
0,11;19;0;7
0,11;19;0;7
0,14;19;0;7
0,13;19;0;7
0,16;19;0;7
0,13;19;0;7
0,12;19;0;7
0,14;19;0;7
