BV,Material,Grupo,Individuo,Trat
"12,214",BC,G1,1,1
"34,118",BC,G2,1,2
"12,513",BO,G1,1,1
"16,582",BO,G2,1,2
"17,385",CE,G1,1,1
"28,288",CE,G2,1,2
"5,645",CO,G1,1,1
"7,308",CO,G2,1,2
"14,978",BC,G1,2,3
"28,456",BC,G2,2,4
"10,446",BO,G1,2,3
"15,879",BO,G2,2,4
"14,698",CE,G1,2,3
"21,649",CE,G2,2,4
"5,476",CO,G1,2,3
"13,12",CO,G2,2,4
"22,412",BC,G1,3,5
"29,843",BC,G2,3,6
"16,1",BO,G1,3,5
"15,401",BO,G2,3,6
"13,878",CE,G1,3,5
"20,837",CE,G2,3,6
"2,288",CO,G1,3,5
"6,366",CO,G2,3,6
"19,355",BC,G1,4,7
"15,684",BC,G2,4,8
"10,155",BO,G1,4,7
"17,651",BO,G2,4,8
"19,207",CE,G1,4,7
"28,819",CE,G2,4,8
"11,676",CO,G1,4,7
"8,015",CO,G2,4,8
"12,701",BC,G1,5,9
"21,964",BC,G2,5,10
"17,881",BO,G1,5,9
"11,049",BO,G2,5,10
"19,461",CE,G1,5,9
"16,806",CE,G2,5,10
"12,261",CO,G1,5,9
"8,093",CO,G2,5,10
